2018-02-22-22:08:07, gdax:9855.02000000, koinex:10510.46, ratio:-6.65
2018-02-22-22:09:10, gdax:9883.06000000, koinex:10587.29, ratio:-7.12
2018-02-22-22:10:12, gdax:9892.26000000, koinex:10587.29, ratio:-7.02
2018-02-22-22:11:14, gdax:9892.26000000, koinex:10525.83, ratio:-6.40
2018-02-22-22:12:16, gdax:9851.01000000, koinex:10525.83, ratio:-6.85
2018-02-22-22:13:19, gdax:9878.25000000, koinex:10525.83, ratio:-6.55
2018-02-22-22:14:21, gdax:9878.33000000, koinex:10525.83, ratio:-6.55
2018-02-22-22:15:25, gdax:9863.11000000, koinex:10525.83, ratio:-6.71
2018-02-22-22:16:27, gdax:9874.76000000, koinex:10602.64, ratio:-7.37
2018-02-22-22:17:29, gdax:9896.00000000, koinex:10602.64, ratio:-7.14
2018-02-22-22:18:32, gdax:9900.00000000, koinex:10602.64, ratio:-7.09
2018-02-22-22:19:34, gdax:9899.99000000, koinex:10602.64, ratio:-7.09
2018-02-22-22:20:37, gdax:9890.01000000, koinex:10602.64, ratio:-7.20
2018-02-22-22:21:40, gdax:9878.24000000, koinex:10602.64, ratio:-7.33
2018-02-22-22:22:42, gdax:9862.69000000, koinex:10541.19, ratio:-6.87
2018-02-22-22:23:44, gdax:9859.01000000, koinex:10525.83, ratio:-6.76
2018-02-22-22:24:47, gdax:9875.13000000, koinex:10525.83, ratio:-6.58
2018-02-22-22:25:50, gdax:9864.82000000, koinex:10541.19, ratio:-6.85
2018-02-22-22:26:53, gdax:9877.13000000, koinex:10541.19, ratio:-6.72
2018-02-22-22:27:56, gdax:9875.01000000, koinex:10541.19, ratio:-6.74
2018-02-22-22:28:59, gdax:9885.00000000, koinex:10541.19, ratio:-6.63
2018-02-22-22:30:01, gdax:9885.00000000, koinex:10541.19, ratio:-6.63
2018-02-22-22:31:04, gdax:9872.82000000, koinex:10541.19, ratio:-6.76
2018-02-22-22:32:06, gdax:9886.99000000, koinex:10541.19, ratio:-6.61
2018-02-22-22:33:08, gdax:9880.09000000, koinex:10541.19, ratio:-6.69
2018-02-22-22:34:11, gdax:9866.00000000, koinex:10541.19, ratio:-6.84
2018-02-22-22:35:13, gdax:9861.01000000, koinex:10525.83, ratio:-6.74
2018-02-22-22:36:15, gdax:9861.01000000, koinex:10498.93, ratio:-6.46
2018-02-22-22:37:17, gdax:9844.94000000, koinex:, ratio:
2018-02-22-22:38:19, gdax:9827.58000000, koinex:10525.83, ratio:-7.10
2018-02-22-22:38:57, gdax:9820.11000000, koinex:10495.09, ratio:-6.87
2018-02-22-22:39:21, gdax:9820.01000000, koinex:10495.09, ratio:-6.87
2018-02-22-22:40:23, gdax:9818.40000000, koinex:10495.09, ratio:-6.89
2018-02-22-22:41:26, gdax:9848.60000000, koinex:10495.09, ratio:-6.56
2018-02-22-22:42:28, gdax:9849.98000000, koinex:10525.83, ratio:-6.86
2018-02-22-22:43:29, gdax:9844.99000000, koinex:10525.83, ratio:-6.91
2018-02-22-22:44:32, gdax:9841.92000000, koinex:10518.14, ratio:-6.87
2018-02-22-22:45:34, gdax:9835.01000000, koinex:10481.26, ratio:-6.57
2018-02-22-22:46:36, gdax:9834.85000000, koinex:10481.26, ratio:-6.57
2018-02-22-22:47:38, gdax:9834.72000000, koinex:, ratio:
2018-02-22-22:48:40, gdax:9834.73000000, koinex:10481.26, ratio:-6.57
2018-02-22-22:49:42, gdax:9851.00000000, koinex:, ratio:
2018-02-22-22:50:44, gdax:9859.98000000, koinex:10481.26, ratio:-6.30
2018-02-22-22:51:25, gdax:9875.00000000, koinex:, ratio:
2018-02-22-22:51:45, gdax:9874.99000000, koinex:, ratio:
2018-02-22-22:52:47, gdax:9848.90000000, koinex:10481.26, ratio:-6.42
2018-02-22-22:53:50, gdax:9848.90000000, koinex:10481.29, ratio:-6.42
2018-02-22-22:54:52, gdax:9848.90000000, koinex:10481.29, ratio:-6.42
2018-02-22-22:55:54, gdax:9848.89000000, koinex:10525.83, ratio:-6.87
2018-02-22-22:56:57, gdax:9848.90000000, koinex:10525.83, ratio:-6.87
2018-02-22-22:57:59, gdax:9848.89000000, koinex:10525.83, ratio:-6.87
2018-02-22-22:59:02, gdax:9826.34000000, koinex:10524.29, ratio:-7.10
2018-02-22-23:00:04, gdax:9827.00000000, koinex:10524.29, ratio:-7.09
2018-02-22-23:01:07, gdax:9834.43000000, koinex:10525.83, ratio:-7.03
2018-02-22-23:01:15, gdax:9834.43000000, koinex:10525.83, ratio:-7.03
2018-02-22-23:02:08, gdax:9838.99000000, koinex:, ratio:
2018-02-22-23:03:10, gdax:9838.99000000, koinex:10502.78, ratio:-6.74
2018-02-22-23:04:13, gdax:9848.00000000, koinex:10502.78, ratio:-6.64
2018-02-22-23:05:15, gdax:9848.90000000, koinex:10502.78, ratio:-6.63
2018-02-22-23:06:17, gdax:9848.90000000, koinex:10502.78, ratio:-6.63
2018-02-22-23:07:21, gdax:9870.42000000, koinex:10502.78, ratio:-6.40
2018-02-22-23:08:24, gdax:9885.81000000, koinex:10502.78, ratio:-6.24
2018-02-22-23:09:26, gdax:9894.32000000, koinex:10524.29, ratio:-6.36
2018-02-22-23:10:29, gdax:9882.72000000, koinex:10548.87, ratio:-6.74
2018-02-22-23:11:32, gdax:9885.00000000, koinex:10502.78, ratio:-6.24
2018-02-22-23:12:34, gdax:9890.00000000, koinex:10502.78, ratio:-6.19
2018-02-22-23:13:36, gdax:9890.00000000, koinex:10502.78, ratio:-6.19
2018-02-22-23:14:39, gdax:9885.07000000, koinex:10525.83, ratio:-6.48
2018-02-22-23:15:42, gdax:9881.00000000, koinex:10525.83, ratio:-6.52
2018-02-22-23:17:02, gdax:9856.00000000, koinex:10525.83, ratio:-6.79
